Id,EnemyId,Quantity,Delay
1,goblin,1,1
,phantom_1,1,0
2,goblin,1,1
,slime_3,3,2
3,goblin,5,0.0
,slime_0,6,1
,phantom_1,2,1.3
4,slime_3,6,0
,slime_2,7,1
,phantom_1,2,1.3
,slime_0,5,2
,slime_1,5,3
,phantom_1,3,3.2
5,slime_4,6,0
,skeleton_0,5,1
,skeleton_1,2,1.2
,phantom_1,3,2
,goblin,8,2.2
6,goblin,5,0
,death,2,1,
,death,3,1.5,
,phantom_1,3,2
,skeleton_1,7,2.2
,slime_3,5,3
,phantom_1,3,3.3
7,eyes,6,1
,skeleton_1,2,0.5
,skeleton_1,3,1
,phantom,4,2
,phantom,3,2.4
,skeleton_0,3,3
,skeleton_0,4,3.5
8,slime_2,7,1
,phantom,6,3
,phantom_1,3,3.3
,wolf,3,4
,wolf,4,4.5
9,wolf,5,0
,skeleton_0,2,2
,skeleton_0,3,2.5
,skeleton_1,4,3
,skeleton_1,3,3.3
,phantom_1,3,3.5
,death,5,4
,death,5,4.5
10,eyes,5,0
11,wolf,3,1
,wolf,2,1
,wolf,3,1
,wolf,4,2
,wolf,5,3
,wolf,3,3.5
