Id,WaveId,Delay,EnvironmentId,PrefabName
1,1,0.5,Environment_1,Level_1
,2,0.6,Environment_1,Level_1
2,1,0.5,Environment_1,Level_1
,3,0.6,Environment_1,Level_1
3,2,0.5,Environment_1,Level_1
,3,0.7,Environment_1,Level_1
,4,0.9,Environment_1,Level_1
4,3,0.5,Environment_1,Level_1
,4,0.5,Environment_1,Level_1
,2,0.6,Environment_1,Level_1
5,4,0.5,Environment_1,Level_1
,5,0.7,Environment_1,Level_1
7,6,0.5,Environment_1,Level_1
,6,0.7,Environment_1,Level_1
,6,0.9,Environment_1,Level_1
8,5,0.5,Environment_1,Level_1
,6,0.7,Environment_1,Level_1
,7,0.9,Environment_1,Level_1
,8,1.1,Environment_1,Level_1
9,7,0.5,Environment_1,Level_1
,7,0.3,Environment_1,Level_1
,8,0.5,Environment_1,Level_1
10,2,0.5,Environment_1,Level_1
,4,0.5,Environment_1,Level_1
,8,0.5,Environment_1,Level_1
11,8,0.5,Environment_1,Level_1
,9,0.5,Environment_1,Level_1
,7,0.5,Environment_1,Level_1
12,2,0.5,Environment_1,Level_1
,3,0.7,Environment_1,Level_1
,9,0.9,Environment_1,Level_1
13,8,0.5,Environment_1,Level_1
,9,0.5,Environment_1,Level_1
,9,0.8,Environment_1,Level_1
14,5,0.5,Environment_1,Level_1
,7,0.5,Environment_1,Level_1
,6,0.7,Environment_1,Level_1
,8,0.9,Environment_1,Level_1
15,9,0.5,Environment_1,Level_1
,8,0.5,Environment_1,Level_1
,7,0.7,Environment_1,Level_1
,9,0.9,Environment_1,Level_1
16,2,0.5,Environment_1,Level_1
,5,0.5,Environment_1,Level_1
,8,0.5,Environment_1,Level_1
,9,0.5,Environment_1,Level_1
,9,0.5,Environment_1,Level_1
6,7,0.5,Environment_1,Level_1
,7,0.5,Environment_1,Level_1
,9,0.5,Environment_1,Level_1
,9,0.5,Environment_1,Level_1
,9,0.5,Environment_1,Level_1
17,8,0.5,Environment_1,Level_1
,8,0.5,Environment_1,Level_1
,8,0.5,Environment_1,Level_1
,8,0.8,Environment_1,Level_1
,9,1,Environment_1,Level_1
18,2,0.5,Environment_1,Level_1
,3,0.5,Environment_1,Level_1
,1,0.6,Environment_1,Level_1
,8,0.8,Environment_1,Level_1
,7,1,Environment_1,Level_1
19,1,0.5,Environment_1,Level_1
,4,0.5,Environment_1,Level_1
,5,0.7,Environment_1,Level_1
,6,0.8,Environment_1,Level_1
,9,0.9,Environment_1,Level_1
,9,1,Environment_1,Level_1
20,3,0.5,Environment_1,Level_1
,5,0.5,Environment_1,Level_1
,7,0.6,Environment_1,Level_1
,9,0.7,Environment_1,Level_1
,9,0.8,Environment_1,Level_1
,8,0.9,Environment_1,Level_1
,9,1,Environment_1,Level_1
